geo,time,income_per_person_long_series
alb,1980,5141.0
alb,1981,5169.0
alb,1982,5197.0
alb,1983,5228.0
alb,1984,5257.0
alb,1985,5285.0
alb,1986,5318.0
alb,1987,5352.0
alb,1988,5386.0
alb,1989,5426.0
alb,1990,5475.0
alb,1991,3890.0
alb,1992,3575.0
alb,1993,3889.0
alb,1994,4178.0
alb,1995,4703.0
alb,1996,5110.0
alb,1997,4571.0
alb,1998,5131.0
alb,1999,5623.0
alb,2000,6005.0
alb,2001,6407.0
alb,2002,6591.0
alb,2003,6950.0
alb,2004,7322.0
alb,2005,7685.0
alb,2006,8090.0
alb,2007,8528.0
alb,2008,9112.0
alb,2009,9377.0
alb,2010,9657.0
alb,2011,9897.0
alb,2012,10120.0
alb,2013,10300.0
alb,2014,10570.0
alb,2015,10970.0
alb,2016,11490.0
alb,2017,12060.0
alb,2018,12670.0
alb,2019,13330.0
and,1800,1260.0
and,1801,1262.0
and,1802,1264.0
and,1803,1266.0
and,1804,1268.0
and,1805,1271.0
and,1806,1273.0
and,1807,1275.0
and,1808,1277.0
and,1809,1279.0
and,1810,1281.0
and,1811,1283.0
and,1812,1286.0
and,1813,1288.0
and,1814,1290.0
and,1815,1292.0
and,1816,1294.0
and,1817,1296.0
and,1818,1299.0
and,1819,1301.0
and,1820,1303.0
and,1821,1318.0
and,1822,1334.0
and,1823,1349.0
and,1824,1365.0
and,1825,1381.0
and,1826,1397.0
and,1827,1414.0
and,1828,1430.0
and,1829,1447.0
and,1830,1464.0
and,1831,1481.0
and,1832,1499.0
and,1833,1516.0
and,1834,1534.0
and,1835,1552.0
and,1836,1570.0
and,1837,1589.0
and,1838,1608.0
and,1839,1626.0
and,1840,1645.0
and,1841,1665.0
and,1842,1684.0
and,1843,1704.0
and,1844,1724.0
and,1845,1744.0
and,1846,1765.0
and,1847,1785.0
and,1848,1806.0
and,1849,1828.0
and,1850,1849.0
and,1851,1871.0
and,1852,1893.0
and,1853,1915.0
and,1854,1937.0
and,1855,1960.0
and,1856,1983.0
and,1857,2006.0
and,1858,2030.0
and,1859,2054.0
and,1860,2078.0
and,1861,2102.0
and,1862,2127.0
and,1863,2152.0
and,1864,2177.0
and,1865,2203.0
and,1866,2229.0
and,1867,2255.0
and,1868,2281.0
and,1869,2308.0
and,1870,2335.0
and,1871,2362.0
and,1872,2390.0
and,1873,2418.0
and,1874,2447.0
and,1875,2475.0
and,1876,2504.0
and,1877,2534.0
and,1878,2564.0
and,1879,2594.0
and,1880,2624.0
and,1881,2655.0
and,1882,2686.0
and,1883,2718.0
and,1884,2749.0
and,1885,2782.0
and,1886,2814.0
and,1887,2847.0
and,1888,2881.0
and,1889,2915.0
and,1890,2949.0
and,1891,2983.0
and,1892,3018.0
and,1893,3054.0
and,1894,3090.0
and,1895,3126.0
and,1896,3163.0
and,1897,3200.0
and,1898,3237.0
and,1899,3275.0
and,1900,3314.0
and,1901,3353.0
and,1902,3392.0
and,1903,3432.0
and,1904,3472.0
and,1905,3513.0
and,1906,3554.0
and,1907,3596.0
and,1908,3638.0
and,1909,3681.0
and,1910,3724.0
and,1911,3768.0
and,1912,3812.0
and,1913,3856.0
and,1914,3921.0
and,1915,3986.0
and,1916,4052.0
and,1917,4120.0
and,1918,4188.0
and,1919,4258.0
and,1920,4329.0
and,1921,4401.0
and,1922,4474.0
and,1923,4548.0
and,1924,4624.0
and,1925,4701.0
and,1926,4779.0
and,1927,4858.0
and,1928,4939.0
and,1929,5021.0
and,1930,5105.0
and,1931,5190.0
and,1932,5276.0
and,1933,5364.0
and,1934,5453.0
and,1935,5544.0
and,1936,5636.0
and,1937,5730.0
and,1938,5825.0
and,1939,5922.0
and,1940,6020.0
and,1941,6120.0
and,1942,6222.0
and,1943,6326.0
and,1944,6431.0
and,1945,6538.0
and,1946,6647.0
and,1947,6757.0
and,1948,6870.0
and,1949,6984.0
and,1950,7100.0
and,1951,7672.0
and,1952,8291.0
and,1953,8959.0
and,1954,9681.0
and,1955,10460.0
and,1956,11300.0
and,1957,12220.0
and,1958,13200.0
and,1959,14260.0
and,1960,15410.0
and,1961,16660.0
and,1962,18000.0
and,1963,19450.0
and,1964,21020.0
and,1965,22710.0
and,1966,24540.0
and,1967,26520.0
and,1968,28660.0
and,1969,30970.0
and,1970,33460.0
and,1971,33260.0
and,1972,34190.0
and,1973,35110.0
and,1974,35470.0
and,1975,34280.0
and,1976,34210.0
and,1977,34120.0
and,1978,33620.0
and,1979,32600.0
and,1980,32170.0
and,1981,30890.0
and,1982,29990.0
and,1983,29210.0
and,1984,28450.0
and,1985,27880.0
and,1986,27600.0
and,1987,27960.0
and,1988,28230.0
and,1989,28460.0
and,1990,28420.0
and,1991,28030.0
and,1992,27220.0
and,1993,26010.0
and,1994,25910.0
and,1995,26140.0
and,1996,27180.0
and,1997,29730.0
and,1998,30820.0
and,1999,31940.0
and,2000,31660.0
and,2001,31790.0
and,2002,31870.0
and,2003,34500.0
and,2004,36330.0
and,2005,39790.0
and,2006,42740.0
and,2007,43440.0
and,2008,41430.0
and,2009,41730.0
and,2010,38980.0
and,2011,41960.0
and,2012,41930.0
and,2013,43730.0
are,1800,1050.0
are,1801,1054.0
are,1802,1058.0
are,1803,1061.0
are,1804,1065.0
are,1805,1069.0
are,1806,1073.0
are,1807,1077.0
are,1808,1081.0
are,1809,1084.0
are,1810,1088.0
are,1811,1092.0
are,1812,1096.0
are,1813,1100.0
are,1814,1104.0
are,1815,1108.0
are,1816,1112.0
are,1817,1116.0
are,1818,1120.0
are,1819,1124.0
are,1820,1128.0
are,1821,1132.0
are,1822,1136.0
are,1823,1140.0
are,1824,1144.0
are,1825,1149.0
are,1826,1153.0
are,1827,1157.0
are,1828,1161.0
are,1829,1165.0
are,1830,1169.0
are,1831,1174.0
are,1832,1178.0
are,1833,1182.0
are,1834,1186.0
are,1835,1191.0
are,1836,1195.0
are,1837,1199.0
are,1838,1203.0
are,1839,1208.0
are,1840,1212.0
are,1841,1217.0
are,1842,1221.0
are,1843,1225.0
are,1844,1230.0
are,1845,1234.0
