geo,time,mean_years_in_school_men_15_to_24_years,is_forecasted
ben,1981,2.98,False
ben,1982,3.05,False
ben,1983,3.13,False
ben,1984,3.21,False
ben,1985,3.29,False
ben,1986,3.37,False
ben,1987,3.45,False
ben,1988,3.54,False
ben,1989,3.62,False
ben,1990,3.71,False
ben,1991,3.81,False
ben,1992,3.9,False
ben,1993,3.99,False
ben,1994,4.09,False
ben,1995,4.19,False
ben,1996,4.3,False
ben,1997,4.41,False
ben,1998,4.52,False
ben,1999,4.63,False
ben,2000,4.74,False
ben,2001,4.85,False
ben,2002,4.97,False
ben,2003,5.08,False
ben,2004,5.2,False
ben,2005,5.32,False
ben,2006,5.44,False
ben,2007,5.56,False
ben,2008,5.68,False
ben,2009,5.8,False
ben,2010,5.92,False
ben,2011,6.05,False
ben,2012,6.17,False
ben,2013,6.3,False
ben,2014,6.42,False
ben,2015,6.55,False
ben,2016,6.676831167074289,True
ben,2017,6.803562965052739,True
ben,2018,6.930195471788592,True
ben,2019,7.056728765074089,True
ben,2020,7.183162922640526,True
ben,2021,7.309498022158298,True
ben,2022,7.435734141236945,True
ben,2023,7.561871357425204,True
ben,2024,7.687909748211054,True
bfa,1970,1.15,False
bfa,1971,1.18,False
bfa,1972,1.21,False
bfa,1973,1.24,False
bfa,1974,1.28,False
bfa,1975,1.31,False
bfa,1976,1.35,False
bfa,1977,1.39,False
bfa,1978,1.42,False
bfa,1979,1.46,False
bfa,1980,1.5,False
bfa,1981,1.54,False
bfa,1982,1.59,False
bfa,1983,1.63,False
bfa,1984,1.67,False
bfa,1985,1.72,False
bfa,1986,1.77,False
bfa,1987,1.82,False
bfa,1988,1.86,False
bfa,1989,1.92,False
bfa,1990,1.97,False
bfa,1991,2.02,False
bfa,1992,2.08,False
bfa,1993,2.13,False
bfa,1994,2.19,False
bfa,1995,2.25,False
bfa,1996,2.31,False
bfa,1997,2.38,False
bfa,1998,2.44,False
bfa,1999,2.51,False
bfa,2000,2.58,False
bfa,2001,2.65,False
bfa,2002,2.72,False
bfa,2003,2.79,False
bfa,2004,2.87,False
bfa,2005,2.94,False
bfa,2006,3.02,False
bfa,2007,3.1,False
bfa,2008,3.18,False
bfa,2009,3.26,False
bfa,2010,3.34,False
bfa,2011,3.42,False
bfa,2012,3.51,False
bfa,2013,3.59,False
bfa,2014,3.68,False
bfa,2015,3.76,False
bfa,2016,3.8429240954812958,True
bfa,2017,3.9257259848337456,True
bfa,2018,4.008405848153831,True
bfa,2019,4.090963865272626,True
bfa,2020,4.1734002157561845,True
bfa,2021,4.25571507890593,True
bfa,2022,4.33790863375905,True
bfa,2023,4.419981059088883,True
bfa,2024,4.501932533405306,True
bgd,1970,2.73,False
bgd,1971,2.8,False
bgd,1972,2.86,False
bgd,1973,2.93,False
bgd,1974,3.0,False
bgd,1975,3.08,False
bgd,1976,3.15,False
bgd,1977,3.22,False
bgd,1978,3.3,False
bgd,1979,3.38,False
bgd,1980,3.46,False
bgd,1981,3.54,False
bgd,1982,3.62,False
bgd,1983,3.7,False
bgd,1984,3.78,False
bgd,1985,3.87,False
bgd,1986,3.96,False
bgd,1987,4.05,False
bgd,1988,4.14,False
bgd,1989,4.23,False
bgd,1990,4.32,False
bgd,1991,4.42,False
bgd,1992,4.52,False
bgd,1993,4.61,False
bgd,1994,4.71,False
bgd,1995,4.81,False
bgd,1996,4.92,False
bgd,1997,5.02,False
bgd,1998,5.12,False
bgd,1999,5.23,False
bgd,2000,5.34,False
bgd,2001,5.45,False
bgd,2002,5.56,False
bgd,2003,5.67,False
bgd,2004,5.78,False
bgd,2005,5.9,False
bgd,2006,6.01,False
bgd,2007,6.13,False
bgd,2008,6.25,False
bgd,2009,6.37,False
bgd,2010,6.49,False
bgd,2011,6.62,False
bgd,2012,6.74,False
bgd,2013,6.87,False
bgd,2014,7.0,False
bgd,2015,7.13,False
bgd,2016,7.259229517645339,True
bgd,2017,7.3883630663546045,True
bgd,2018,7.517400717396625,True
bgd,2019,7.646342541987307,True
bgd,2020,7.7751886112896695,True
bgd,2021,7.903938996413884,True
bgd,2022,8.032593768417312,True
bgd,2023,8.16115299830455,True
bgd,2024,8.289616757027462,True
bgr,1970,7.93,False
bgr,1971,8.03,False
bgr,1972,8.14,False
bgr,1973,8.24,False
bgr,1974,8.34,False
bgr,1975,8.44,False
bgr,1976,8.54,False
bgr,1977,8.63,False
bgr,1978,8.72,False
bgr,1979,8.81,False
bgr,1980,8.89,False
bgr,1981,8.97,False
bgr,1982,9.05,False
bgr,1983,9.12,False
bgr,1984,9.19,False
bgr,1985,9.25,False
bgr,1986,9.31,False
bgr,1987,9.36,False
bgr,1988,9.41,False
bgr,1989,9.45,False
bgr,1990,9.49,False
bgr,1991,9.52,False
bgr,1992,9.54,False
bgr,1993,9.56,False
bgr,1994,9.58,False
bgr,1995,9.59,False
bgr,1996,9.64,False
bgr,1997,9.7,False
bgr,1998,9.76,False
bgr,1999,9.83,False
bgr,2000,9.9,False
bgr,2001,9.97,False
bgr,2002,10.06,False
bgr,2003,10.14,False
bgr,2004,10.23,False
bgr,2005,10.32,False
bgr,2006,10.42,False
bgr,2007,10.52,False
bgr,2008,10.63,False
bgr,2009,10.73,False
bgr,2010,10.84,False
bgr,2011,10.96,False
bgr,2012,11.08,False
bgr,2013,11.2,False
bgr,2014,11.32,False
bgr,2015,11.44,False
bgr,2016,11.559563864481065,True
bgr,2017,11.678722384060126,True
bgr,2018,11.797476932935737,True
bgr,2019,11.915828880647648,True
bgr,2020,12.033779592092603,True
bgr,2021,12.151330427540078,True
bgr,2022,12.268482742647969,True
bgr,2023,12.385237888478226,True
bgr,2024,12.501597211512438,True
bhr,1970,5.37,False
bhr,1971,5.49,False
bhr,1972,5.6,False
bhr,1973,5.71,False
bhr,1974,5.83,False
