geo,time,income_per_person_long_series,is_forecasted
alb,1854,944.5,False
alb,1855,946.5,False
alb,1856,948.5,False
alb,1857,950.6,False
alb,1858,952.6,False
alb,1859,954.6,False
alb,1860,956.6,False
alb,1861,958.7,False
alb,1862,960.7,False
alb,1863,962.8,False
alb,1864,964.8,False
alb,1865,966.9,False
alb,1866,968.9,False
alb,1867,971.0,False
alb,1868,973.0,False
alb,1869,975.1,False
alb,1870,977.2,False
alb,1871,991.6,False
alb,1872,1006.0,False
alb,1873,1021.0,False
alb,1874,1036.0,False
alb,1875,1051.0,False
alb,1876,1067.0,False
alb,1877,1083.0,False
alb,1878,1099.0,False
alb,1879,1115.0,False
alb,1880,1131.0,False
alb,1881,1148.0,False
alb,1882,1165.0,False
alb,1883,1182.0,False
alb,1884,1199.0,False
alb,1885,1217.0,False
alb,1886,1235.0,False
alb,1887,1253.0,False
alb,1888,1272.0,False
alb,1889,1290.0,False
alb,1890,1309.0,False
alb,1891,1327.0,False
alb,1892,1346.0,False
alb,1893,1364.0,False
alb,1894,1383.0,False
alb,1895,1402.0,False
alb,1896,1421.0,False
alb,1897,1440.0,False
alb,1898,1460.0,False
alb,1899,1480.0,False
alb,1900,1500.0,False
alb,1901,1520.0,False
alb,1902,1540.0,False
alb,1903,1560.0,False
alb,1904,1581.0,False
alb,1905,1601.0,False
alb,1906,1622.0,False
alb,1907,1644.0,False
alb,1908,1665.0,False
alb,1909,1687.0,False
alb,1910,1709.0,False
alb,1911,1731.0,False
alb,1912,1753.0,False
alb,1913,1776.0,False
alb,1914,1791.0,False
alb,1915,1806.0,False
alb,1916,1821.0,False
alb,1917,1836.0,False
alb,1918,1851.0,False
alb,1919,1867.0,False
alb,1920,1882.0,False
alb,1921,1898.0,False
alb,1922,1914.0,False
alb,1923,1930.0,False
alb,1924,1946.0,False
alb,1925,1963.0,False
alb,1926,1979.0,False
alb,1927,1996.0,False
alb,1928,2012.0,False
alb,1929,2029.0,False
alb,1930,2037.0,False
alb,1931,2044.0,False
alb,1932,2052.0,False
alb,1933,2059.0,False
alb,1934,2067.0,False
alb,1935,2075.0,False
alb,1936,2082.0,False
alb,1937,2090.0,False
alb,1938,2098.0,False
alb,1939,2106.0,False
alb,1940,2114.0,False
alb,1941,2121.0,False
alb,1942,2129.0,False
alb,1943,2137.0,False
alb,1944,2145.0,False
alb,1945,2153.0,False
alb,1946,2161.0,False
alb,1947,2169.0,False
alb,1948,2177.0,False
alb,1949,2185.0,False
alb,1950,2193.0,False
alb,1951,2288.0,False
alb,1952,2292.0,False
alb,1953,2384.0,False
alb,1954,2454.0,False
alb,1955,2587.0,False
alb,1956,2613.0,False
alb,1957,2780.0,False
alb,1958,2905.0,False
alb,1959,3025.0,False
alb,1960,3178.0,False
alb,1961,3205.0,False
alb,1962,3311.0,False
alb,1963,3424.0,False
alb,1964,3541.0,False
alb,1965,3670.0,False
alb,1966,3808.0,False
alb,1967,3951.0,False
alb,1968,4094.0,False
alb,1969,4233.0,False
alb,1970,4389.0,False
alb,1971,4564.0,False
alb,1972,4743.0,False
alb,1973,4979.0,False
alb,1974,4998.0,False
alb,1975,5015.0,False
alb,1976,5035.0,False
alb,1977,5057.0,False
alb,1978,5080.0,False
alb,1979,5105.0,False
alb,1980,5141.0,False
alb,1981,5169.0,False
alb,1982,5197.0,False
alb,1983,5228.0,False
alb,1984,5257.0,False
alb,1985,5285.0,False
alb,1986,5318.0,False
alb,1987,5352.0,False
alb,1988,5386.0,False
alb,1989,5426.0,False
alb,1990,5475.0,False
alb,1991,3890.0,False
alb,1992,3575.0,False
alb,1993,3889.0,False
alb,1994,4178.0,False
alb,1995,4703.0,False
alb,1996,5110.0,False
alb,1997,4571.0,False
alb,1998,5131.0,False
alb,1999,5623.0,False
alb,2000,6005.0,False
alb,2001,6407.0,False
alb,2002,6591.0,False
alb,2003,6950.0,False
alb,2004,7322.0,False
alb,2005,7685.0,False
alb,2006,8090.0,False
alb,2007,8528.0,False
alb,2008,9112.0,False
alb,2009,9377.0,False
alb,2010,9657.0,False
alb,2011,9897.0,False
alb,2012,10120.0,False
alb,2013,10300.0,False
alb,2014,10570.0,False
alb,2015,10970.0,False
alb,2016,11490.0,False
alb,2017,12060.0,False
alb,2018,12670.0,False
alb,2019,13330.0,False
alb,2020,13791.203574856258,True
alb,2021,14244.21592889564,True
alb,2022,14689.182542557004,True
alb,2023,15126.24631246922,True
alb,2024,15555.547597341025,True
and,1800,1260.0,False
and,1801,1262.0,False
and,1802,1264.0,False
and,1803,1266.0,False
and,1804,1268.0,False
and,1805,1271.0,False
and,1806,1273.0,False
and,1807,1275.0,False
and,1808,1277.0,False
and,1809,1279.0,False
and,1810,1281.0,False
and,1811,1283.0,False
and,1812,1286.0,False
and,1813,1288.0,False
and,1814,1290.0,False
and,1815,1292.0,False
and,1816,1294.0,False
and,1817,1296.0,False
and,1818,1299.0,False
and,1819,1301.0,False
and,1820,1303.0,False
and,1821,1318.0,False
and,1822,1334.0,False
and,1823,1349.0,False
and,1824,1365.0,False
and,1825,1381.0,False
and,1826,1397.0,False
and,1827,1414.0,False
and,1828,1430.0,False
and,1829,1447.0,False
and,1830,1464.0,False
and,1831,1481.0,False
and,1832,1499.0,False
and,1833,1516.0,False
and,1834,1534.0,False
and,1835,1552.0,False
and,1836,1570.0,False
and,1837,1589.0,False
and,1838,1608.0,False
and,1839,1626.0,False
and,1840,1645.0,False
and,1841,1665.0,False
and,1842,1684.0,False
and,1843,1704.0,False
and,1844,1724.0,False
and,1845,1744.0,False
and,1846,1765.0,False
and,1847,1785.0,False
and,1848,1806.0,False
and,1849,1828.0,False
and,1850,1849.0,False
and,1851,1871.0,False
and,1852,1893.0,False
and,1853,1915.0,False
and,1854,1937.0,False
and,1855,1960.0,False
and,1856,1983.0,False
and,1857,2006.0,False
and,1858,2030.0,False
and,1859,2054.0,False
and,1860,2078.0,False
and,1861,2102.0,False
and,1862,2127.0,False
and,1863,2152.0,False
and,1864,2177.0,False
and,1865,2203.0,False
and,1866,2229.0,False
and,1867,2255.0,False
and,1868,2281.0,False
and,1869,2308.0,False
and,1870,2335.0,False
and,1871,2362.0,False
and,1872,2390.0,False
and,1873,2418.0,False
and,1874,2447.0,False
and,1875,2475.0,False
and,1876,2504.0,False
and,1877,2534.0,False
and,1878,2564.0,False
and,1879,2594.0,False
and,1880,2624.0,False
and,1881,2655.0,False
and,1882,2686.0,False
and,1883,2718.0,False
and,1884,2749.0,False
and,1885,2782.0,False
and,1886,2814.0,False
and,1887,2847.0,False
and,1888,2881.0,False
and,1889,2915.0,False
and,1890,2949.0,False
and,1891,2983.0,False
and,1892,3018.0,False
and,1893,3054.0,False
and,1894,3090.0,False
and,1895,3126.0,False
and,1896,3163.0,False
and,1897,3200.0,False
and,1898,3237.0,False
and,1899,3275.0,False
and,1900,3314.0,False
and,1901,3353.0,False
and,1902,3392.0,False
and,1903,3432.0,False
and,1904,3472.0,False
and,1905,3513.0,False
and,1906,3554.0,False
and,1907,3596.0,False
and,1908,3638.0,False
and,1909,3681.0,False
and,1910,3724.0,False
and,1911,3768.0,False
and,1912,3812.0,False
and,1913,3856.0,False
and,1914,3921.0,False
and,1915,3986.0,False
and,1916,4052.0,False
and,1917,4120.0,False
and,1918,4188.0,False
and,1919,4258.0,False
and,1920,4329.0,False
and,1921,4401.0,False
and,1922,4474.0,False
and,1923,4548.0,False
and,1924,4624.0,False
and,1925,4701.0,False
and,1926,4779.0,False
and,1927,4858.0,False
and,1928,4939.0,False
and,1929,5021.0,False
and,1930,5105.0,False
and,1931,5190.0,False
and,1932,5276.0,False
and,1933,5364.0,False
and,1934,5453.0,False
and,1935,5544.0,False
and,1936,5636.0,False
and,1937,5730.0,False
and,1938,5825.0,False
and,1939,5922.0,False
and,1940,6020.0,False
and,1941,6120.0,False
and,1942,6222.0,False
and,1943,6326.0,False
and,1944,6431.0,False
and,1945,6538.0,False
and,1946,6647.0,False
and,1947,6757.0,False
and,1948,6870.0,False
and,1949,6984.0,False
and,1950,7100.0,False
and,1951,7672.0,False
and,1952,8291.0,False
and,1953,8959.0,False
and,1954,9681.0,False
and,1955,10460.0,False
and,1956,11300.0,False
and,1957,12220.0,False
and,1958,13200.0,False
and,1959,14260.0,False
and,1960,15410.0,False
and,1961,16660.0,False
and,1962,18000.0,False
and,1963,19450.0,False
and,1964,21020.0,False
and,1965,22710.0,False
and,1966,24540.0,False
and,1967,26520.0,False
and,1968,28660.0,False
and,1969,30970.0,False
and,1970,33460.0,False
and,1971,33260.0,False
and,1972,34190.0,False
and,1973,35110.0,False
and,1974,35470.0,False
and,1975,34280.0,False
and,1976,34210.0,False
and,1977,34120.0,False
and,1978,33620.0,False
and,1979,32600.0,False
and,1980,32170.0,False
and,1981,30890.0,False
and,1982,29990.0,False
and,1983,29210.0,False
and,1984,28450.0,False
and,1985,27880.0,False
and,1986,27600.0,False
and,1987,27960.0,False
and,1988,28230.0,False
and,1989,28460.0,False
and,1990,28420.0,False
and,1991,28030.0,False
and,1992,27220.0,False
and,1993,26010.0,False
and,1994,25910.0,False
and,1995,26140.0,False
and,1996,27180.0,False
and,1997,29730.0,False
and,1998,30820.0,False
and,1999,31940.0,False
and,2000,31660.0,False
and,2001,31790.0,False
and,2002,31870.0,False
and,2003,34500.0,False
and,2004,36330.0,False
and,2005,39790.0,False
and,2006,42740.0,False
and,2007,43440.0,False
and,2008,41430.0,False
and,2009,41730.0,False
and,2010,38980.0,False
and,2011,41960.0,False
and,2012,41930.0,False
and,2013,43730.0,False
and,2014,44623.74828195069,True
and,2015,45359.13366609569,True
and,2016,45964.216410460525,True
and,2017,46462.084787262385,True
and,2018,46871.73606707126,True
and,2019,47208.8014017427,True
and,2020,47486.14226563596,True
and,2021,47714.34121365307,True
and,2022,47902.10568205884,True
and,2023,48056.60023999633,True
and,2024,48183.71996949019,True
