geo,time,cell_phones_per_100_people,is_forecasted
bdi,1990,0.0,False
bdi,1991,0.0,False
bdi,1992,0.0,False
bdi,1993,0.00635,False
bdi,1994,0.00677,False
bdi,1995,0.00951,False
bdi,1996,0.00946,False
bdi,1997,0.01045,False
bdi,1998,0.01027,False
bdi,1999,0.01294,False
bdi,2000,0.25223,False
bdi,2001,0.50368,False
bdi,2002,0.762,False
bdi,2003,0.90868,False
bdi,2004,1.37553,False
bdi,2005,2.01653,False
bdi,2006,2.54273,False
bdi,2007,3.30806,False
bdi,2008,5.65018,False
bdi,2009,10.2904,False
bdi,2010,17.8962,False
bdi,2011,19.7015,False
bdi,2012,22.3128,False
bdi,2013,24.3007,False
bdi,2014,29.5678,False
bdi,2015,45.2379,False
bdi,2016,47.6697,False
bdi,2017,51.4533,False
bdi,2018,53.2737,False
bdi,2019,53.2996,False
bdi,2020,52.5571,False
bdi,2021,59.7008,False
bdi,2022,56.26,False
bdi,2023,63.1631,False
bdi,2024,65.58040218267877,True
bel,1960,0.0,False
bel,1965,0.0,False
bel,1970,0.0,False
bel,1975,0.0,False
bel,1976,0.0,False
bel,1977,0.0,False
bel,1978,0.0,False
bel,1979,0.0,False
bel,1980,0.0,False
bel,1981,0.0,False
bel,1982,0.0,False
bel,1983,0.0,False
bel,1984,0.0,False
bel,1985,0.0,False
bel,1986,0.03841,False
bel,1987,0.07296,False
bel,1988,0.19312,False
bel,1989,0.30986,False
bel,1990,0.43054,False
bel,1991,0.51487,False
bel,1992,0.61359,False
bel,1993,0.67476,False
bel,1994,1.27191,False
bel,1995,2.3304,False
bel,1996,4.72351,False
bel,1997,9.59632,False
bel,1998,17.23787,False
bel,1999,31.16719,False
bel,2000,54.9079,False
bel,2001,74.8226,False
bel,2002,78.407,False
bel,2003,82.9377,False
bel,2004,87.6255,False
bel,2005,91.6576,False
bel,2006,93.3538,False
bel,2007,101.06,False
bel,2008,105.901,False
bel,2009,108.9,False
bel,2010,111.132,False
bel,2011,113.202,False
bel,2012,110.856,False
bel,2013,110.349,False
bel,2014,113.6,False
bel,2015,113.292,False
bel,2016,110.749,False
bel,2017,99.8304,False
bel,2018,100.164,False
bel,2019,100.165,False
bel,2020,99.9101,False
bel,2021,101.463,False
bel,2022,101.68,False
bel,2023,103.196,False
bel,2024,104.50383703248181,True
ben,1960,0.0,False
ben,1965,0.0,False
ben,1970,0.0,False
ben,1975,0.0,False
ben,1976,0.0,False
ben,1977,0.0,False
ben,1978,0.0,False
ben,1979,0.0,False
ben,1980,0.0,False
ben,1981,0.0,False
ben,1982,0.0,False
ben,1983,0.0,False
ben,1984,0.0,False
ben,1985,0.0,False
ben,1986,0.0,False
ben,1987,0.0,False
ben,1988,0.0,False
ben,1989,0.0,False
ben,1990,0.0,False
ben,1991,0.0,False
ben,1992,0.0,False
ben,1993,0.0,False
ben,1994,0.0,False
ben,1995,0.01737,False
ben,1996,0.04363,False
ben,1997,0.06725,False
ben,1998,0.09547,False
ben,1999,0.10708,False
ben,2000,0.76819,False
ben,2001,1.67884,False
ben,2002,2.85027,False
ben,2003,2.98462,False
ben,2004,5.62957,False
ben,2005,7.07639,False
ben,2006,12.1442,False
ben,2007,22.9147,False
ben,2008,39.2846,False
ben,2009,52.9301,False
ben,2010,72.2115,False
ben,2011,76.9318,False
ben,2012,80.8629,False
ben,2013,89.9019,False
ben,2014,78.517,False
ben,2015,82.0193,False
ben,2016,76.0182,False
ben,2017,72.8671,False
ben,2018,76.408,False
ben,2019,81.3235,False
ben,2020,85.2391,False
ben,2021,94.9183,False
ben,2022,105.745,False
ben,2023,116.036,False
ben,2024,123.83757723304001,True
bfa,1960,0.0,False
bfa,1965,0.0,False
bfa,1970,0.0,False
bfa,1975,0.0,False
bfa,1976,0.0,False
bfa,1977,0.0,False
bfa,1978,0.0,False
bfa,1979,0.0,False
bfa,1980,0.0,False
bfa,1981,0.0,False
bfa,1982,0.0,False
bfa,1983,0.0,False
bfa,1984,0.0,False
bfa,1985,0.0,False
bfa,1986,0.0,False
bfa,1987,0.0,False
bfa,1988,0.0,False
bfa,1989,0.0,False
bfa,1990,0.0,False
bfa,1991,0.0,False
bfa,1992,0.0,False
bfa,1993,0.0,False
bfa,1994,0.0,False
bfa,1995,0.0,False
bfa,1996,0.00494,False
bfa,1997,0.01379,False
bfa,1998,0.02437,False
bfa,1999,0.04366,False
bfa,2000,0.21169,False
bfa,2001,0.61965,False
bfa,2002,0.87543,False
bfa,2003,1.81994,False
bfa,2004,2.93277,False
bfa,2005,4.54743,False
bfa,2006,7.07267,False
bfa,2007,12.5405,False
bfa,2008,19.82,False
bfa,2009,24.3387,False
bfa,2010,35.2848,False
bfa,2011,46.1058,False
bfa,2012,58.0942,False
bfa,2013,63.5243,False
bfa,2014,68.5396,False
bfa,2015,76.9373,False
bfa,2016,79.6698,False
bfa,2017,90.2081,False
