geo,time,suicide_per_100000_people,is_forecasted
blr,2007,34.04988,False
blr,2008,36.28929,False
blr,2009,36.37466,False
blr,2010,34.16435,False
blr,2011,34.48311,False
blr,2012,28.49462,False
blr,2013,25.51476,False
blr,2014,23.6081,False
blr,2015,21.91611,False
blr,2016,20.88461,False
blr,2017,18.95358,False
blr,2018,18.66783,False
blr,2019,17.52073,False
blr,2020,16.27145,False
blr,2021,15.61154,False
blr,2022,14.779233367007162,True
blr,2023,14.004754162312041,True
blr,2024,13.284084622111045,True
blz,2000,6.64297,False
blz,2001,5.53174,False
blz,2002,5.31765,False
blz,2003,5.53023,False
blz,2004,6.18588,False
blz,2005,4.91739,False
blz,2006,5.00569,False
blz,2007,4.58535,False
blz,2008,4.61415,False
blz,2009,5.87301,False
blz,2010,6.44526,False
blz,2011,6.74998,False
blz,2012,6.45533,False
blz,2013,6.2561,False
blz,2014,5.8434,False
blz,2015,5.71498,False
blz,2016,5.44839,False
blz,2017,6.25002,False
blz,2018,5.5768,False
blz,2019,5.02205,False
blz,2020,3.70021,False
blz,2021,4.17652,False
blz,2022,4.18377047290315,True
blz,2023,4.1840103006971265,True
blz,2024,4.184018233610129,True
bol,2000,6.54238,False
bol,2001,6.47186,False
bol,2002,6.48055,False
bol,2003,6.40855,False
bol,2004,6.36538,False
bol,2005,6.32857,False
bol,2006,6.10119,False
bol,2007,6.12492,False
bol,2008,6.00492,False
bol,2009,5.94043,False
bol,2010,5.75778,False
bol,2011,5.68198,False
bol,2012,5.43155,False
bol,2013,5.41439,False
bol,2014,5.49088,False
bol,2015,5.5943,False
bol,2016,5.58206,False
bol,2017,5.53512,False
bol,2018,5.40646,False
bol,2019,5.3483,False
bol,2020,4.791,False
bol,2021,4.19678,False
bol,2022,3.7182940812971297,True
bol,2023,3.3006819924769673,True
bol,2024,2.936199256597256,True
bra,2000,4.22831,False
bra,2001,4.70076,False
bra,2002,4.64604,False
bra,2003,4.65462,False
bra,2004,4.74457,False
bra,2005,4.98688,False
bra,2006,4.97019,False
bra,2007,5.17613,False
bra,2008,5.4103,False
bra,2009,5.41602,False
bra,2010,5.24882,False
bra,2011,5.47578,False
bra,2012,5.63524,False
bra,2013,5.79022,False
bra,2014,5.84628,False
bra,2015,6.10835,False
bra,2016,6.24754,False
bra,2017,6.88701,False
bra,2018,6.67905,False
bra,2019,6.70782,False
bra,2020,6.93194,False
bra,2021,7.59403,False
bra,2022,7.7399797806279,True
bra,2023,7.885871722259664,True
bra,2024,8.03170584781653,True
brb,2000,5.20142,False
brb,2001,4.71741,False
brb,2002,4.36062,False
brb,2003,4.91889,False
brb,2004,5.10222,False
brb,2005,5.12489,False
brb,2006,4.89508,False
brb,2007,4.38778,False
brb,2008,4.58142,False
brb,2009,4.31583,False
brb,2010,4.37445,False
brb,2011,4.28669,False
brb,2012,3.90596,False
brb,2013,4.13398,False
brb,2014,4.29346,False
brb,2015,4.04665,False
brb,2016,4.45293,False
brb,2017,3.90486,False
brb,2018,4.13796,False
brb,2019,4.79828,False
brb,2020,4.1366,False
brb,2021,3.5031,False
brb,2022,3.8327231959839603,True
brb,2023,3.923968855163036,True
brb,2024,3.949227303052817,True
brn,2000,1.53023,False
brn,2001,1.10143,False
brn,2002,1.33427,False
brn,2003,1.36425,False
brn,2004,1.68911,False
brn,2005,1.79899,False
brn,2006,2.32517,False
brn,2007,1.99033,False
brn,2008,1.63862,False
brn,2009,1.32494,False
brn,2010,1.05052,False
brn,2011,1.42276,False
brn,2012,1.61254,False
brn,2013,1.31008,False
brn,2014,1.32003,False
brn,2015,1.37039,False
brn,2016,2.03629,False
brn,2017,2.47783,False
brn,2018,2.72247,False
brn,2019,2.49215,False
brn,2020,2.93366,False
brn,2021,3.04717,False
brn,2022,3.067894028810775,True
brn,2023,3.0717424592002467,True
brn,2024,3.0724571086826344,True
btn,2000,5.70257,False
btn,2001,5.76235,False
btn,2002,5.63214,False
btn,2003,5.93237,False
btn,2004,5.88079,False
btn,2005,5.82788,False
btn,2006,5.78661,False
btn,2007,5.65076,False
btn,2008,5.56103,False
btn,2009,5.39225,False
btn,2010,5.15422,False
btn,2011,5.09801,False
btn,2012,5.18101,False
btn,2013,5.33471,False
btn,2014,5.43903,False
btn,2015,5.30101,False
btn,2016,5.24362,False
btn,2017,5.33831,False
btn,2018,5.01739,False
btn,2019,4.84207,False
btn,2020,5.07683,False
btn,2021,4.90384,False
btn,2022,4.908360610235268,True
btn,2023,4.908840048166508,True
btn,2024,4.908890895445514,True
bwa,2000,12.08191,False
bwa,2001,11.75553,False
bwa,2002,12.04675,False
bwa,2003,11.1562,False
bwa,2004,9.9265,False
bwa,2005,9.37772,False
bwa,2006,9.06527,False
bwa,2007,11.48459,False
bwa,2008,15.11223,False
bwa,2009,16.68243,False
bwa,2010,16.46464,False
bwa,2011,15.36643,False
bwa,2012,15.03075,False
bwa,2013,14.09657,False
bwa,2014,12.80985,False
bwa,2015,11.06238,False
bwa,2016,11.01005,False
bwa,2017,10.76394,False
bwa,2018,9.8158,False
bwa,2019,8.98617,False
bwa,2020,8.90835,False
bwa,2021,8.35228,False
bwa,2022,7.790009942623934,True
bwa,2023,7.582009163554126,True
bwa,2024,7.505063355172389,True
caf,2000,12.60821,False
caf,2001,12.01677,False
caf,2002,12.2038,False
caf,2003,11.32143,False
caf,2004,11.43077,False
caf,2005,10.74745,False
caf,2006,11.29942,False
caf,2007,11.01706,False
caf,2008,10.4394,False
caf,2009,10.65996,False
caf,2010,10.23942,False
caf,2011,11.44522,False
caf,2012,9.98758,False
caf,2013,10.46069,False
caf,2014,11.23381,False
caf,2015,10.47412,False
caf,2016,10.44016,False
caf,2017,11.0735,False
caf,2018,10.33212,False
caf,2019,9.45452,False
caf,2020,9.72903,False
caf,2021,9.18932,False
caf,2022,9.46904197039024,True
caf,2023,9.379866385381305,True
caf,2024,9.408295632288837,True
can,2000,12.45292,False
can,2001,12.78265,False
can,2002,12.44839,False
can,2003,13.09065,False
can,2004,12.39094,False
can,2005,12.86833,False
can,2006,11.85839,False
can,2007,12.17983,False
can,2008,12.34484,False
can,2009,12.83161,False
can,2010,12.89314,False
can,2011,12.02242,False
can,2012,12.59646,False
can,2013,12.85595,False
can,2014,13.37575,False
can,2015,13.42697,False
can,2016,11.48604,False
can,2017,11.82108,False
can,2018,12.55595,False
can,2019,12.68958,False
can,2020,11.64402,False
can,2021,9.44161,False
can,2022,10.300795875152467,True
can,2023,10.706897688481918,True
can,2024,10.898845307220649,True
che,2000,20.35451,False
che,2001,19.7061,False
che,2002,21.06964,False
che,2003,18.70046,False
che,2004,18.5527,False
che,2005,18.97447,False
che,2006,18.84826,False
che,2007,19.46768,False
che,2008,18.64478,False
che,2009,15.90666,False
che,2010,14.4912,False
che,2011,14.66158,False
che,2012,14.74814,False
che,2013,15.10083,False
che,2014,14.78048,False
che,2015,15.04932,False
che,2016,14.16106,False
che,2017,14.40023,False
che,2018,14.25457,False
che,2019,14.22617,False
che,2020,13.69128,False
che,2021,14.02486,False
che,2022,14.033978828562002,True
che,2023,14.034771656520313,True
che,2024,14.034840588200211,True
chl,2000,10.64218,False
chl,2001,10.60289,False
chl,2002,9.84325,False
chl,2003,9.83697,False
chl,2004,10.26033,False
chl,2005,9.76216,False
chl,2006,10.11738,False
chl,2007,11.04426,False
chl,2008,12.29636,False
chl,2009,12.75519,False
chl,2010,11.71632,False
chl,2011,11.78649,False
chl,2012,10.6187,False
chl,2013,9.9488,False
chl,2014,10.13178,False
chl,2015,10.32085,False
chl,2016,10.29992,False
chl,2017,10.05989,False
chl,2018,9.52065,False
chl,2019,9.76857,False
chl,2020,8.25715,False
chl,2021,7.69217,False
chl,2022,7.557760596930988,True
chl,2023,7.524782043783948,True
chl,2024,7.516690459840868,True
chn,2000,15.48632,False
chn,2001,15.13916,False
chn,2002,14.92854,False
chn,2003,15.01799,False
chn,2004,15.00788,False
chn,2005,14.22575,False
chn,2006,13.01763,False
chn,2007,12.17913,False
chn,2008,11.60985,False
chn,2009,11.10194,False
chn,2010,10.5835,False
chn,2011,9.97236,False
chn,2012,9.40869,False
chn,2013,9.07104,False
chn,2014,8.85845,False
chn,2015,8.68894,False
chn,2016,8.64643,False
chn,2017,8.6151,False
chn,2018,8.70276,False
chn,2019,8.74995,False
chn,2020,8.82397,False
chn,2021,8.94544,False
chn,2022,8.931949476705851,True
chn,2023,8.922119525799515,True
chn,2024,8.91495687297174,True
civ,2000,5.91792,False
civ,2001,5.83787,False
civ,2002,5.7075,False
civ,2003,5.64901,False
civ,2004,5.14748,False
civ,2005,5.17689,False
civ,2006,5.28979,False
civ,2007,5.48377,False
civ,2008,5.81245,False
civ,2009,6.68005,False
civ,2010,7.93357,False
civ,2011,8.49556,False
civ,2012,8.79113,False
civ,2013,8.92128,False
civ,2014,8.60057,False
civ,2015,8.05554,False
civ,2016,7.81853,False
civ,2017,7.68194,False
civ,2018,7.71251,False
civ,2019,7.75285,False
civ,2020,7.2953,False
civ,2021,7.39131,False
civ,2022,7.531742513194171,True
civ,2023,7.608892987897141,True
civ,2024,7.6512777292331,True
cmr,2000,7.28897,False
cmr,2001,7.89021,False
cmr,2002,7.79093,False
cmr,2003,7.87401,False
cmr,2004,7.71486,False
cmr,2005,7.8678,False
cmr,2006,7.867,False
cmr,2007,7.9478,False
cmr,2008,8.0165,False
cmr,2009,8.03975,False
cmr,2010,8.11856,False
cmr,2011,8.17724,False
cmr,2012,8.31613,False
cmr,2013,8.511,False
cmr,2014,8.6441,False
cmr,2015,8.4498,False
cmr,2016,8.34884,False
cmr,2017,8.19617,False
cmr,2018,8.1412,False
cmr,2019,8.22396,False
cmr,2020,7.90893,False
cmr,2021,8.49675,False
cmr,2022,8.14445966266817,True
cmr,2023,8.453036970244261,True
cmr,2024,8.182748674879464,True
cod,2000,7.75583,False
cod,2001,7.80216,False
cod,2002,7.8738,False
cod,2003,8.05852,False
cod,2004,8.02687,False
cod,2005,7.99442,False
cod,2006,7.94341,False
cod,2007,8.12491,False
cod,2008,8.21169,False
cod,2009,8.04038,False
cod,2010,8.08097,False
cod,2011,8.0762,False
cod,2012,8.08455,False
cod,2013,8.1264,False
cod,2014,8.1914,False
cod,2015,8.20353,False
cod,2016,8.37074,False
cod,2017,8.60365,False
cod,2018,8.67577,False
cod,2019,8.32886,False
cod,2020,8.15426,False
cod,2021,8.76967,False
cod,2022,9.012374939903639,True
cod,2023,8.919404717801259,True
cod,2024,8.955017763836487,True
cog,2000,12.04382,False
cog,2001,10.6501,False
cog,2002,9.59354,False
cog,2003,8.9539,False
cog,2004,9.18856,False
cog,2005,8.94982,False
cog,2006,8.10855,False
cog,2007,8.13012,False
cog,2008,7.99058,False
cog,2009,8.25703,False
cog,2010,8.02551,False
cog,2011,7.74188,False
cog,2012,8.05718,False
cog,2013,7.62115,False
cog,2014,7.27611,False
cog,2015,6.71016,False
cog,2016,6.57815,False
cog,2017,6.57299,False
cog,2018,6.61644,False
cog,2019,7.05151,False
cog,2020,6.55757,False
cog,2021,6.7126,False
cog,2022,6.705776808637159,True
cog,2023,6.6995036591813175,True
cog,2024,6.693736210783249,True
col,2000,5.1185,False
col,2001,5.02459,False
col,2002,4.72015,False
col,2003,4.63194,False
col,2004,4.56627,False
col,2005,4.22417,False
col,2006,4.24292,False
col,2007,4.1761,False
col,2008,4.22404,False
col,2009,4.09505,False
col,2010,3.89283,False
col,2011,3.74925,False
col,2012,3.81836,False
col,2013,3.72119,False
col,2014,3.79913,False
col,2015,4.1312,False
col,2016,4.30647,False
col,2017,4.6226,False
col,2018,5.03076,False
col,2019,5.10852,False
col,2020,4.81499,False
col,2021,4.96183,False
col,2022,4.986457294723115,True
col,2023,5.002961666454118,True
col,2024,5.014022332649803,True
com,2000,6.88526,False
com,2001,6.70412,False
com,2002,6.50053,False
com,2003,6.18856,False
com,2004,6.13142,False
com,2005,5.88422,False
com,2006,5.96602,False
com,2007,5.85995,False
com,2008,5.98458,False
com,2009,5.78481,False
com,2010,6.34741,False
com,2011,5.99174,False
com,2012,6.1397,False
com,2013,6.13728,False
com,2014,6.41728,False
com,2015,6.3745,False
com,2016,6.39468,False
com,2017,6.27122,False
com,2018,6.24889,False
com,2019,6.17941,False
com,2020,6.20777,False
com,2021,5.9983,False
com,2022,6.086053053852711,True
com,2023,6.0016296629224195,True
com,2024,6.082849730182207,True
cpv,2000,12.24005,False
cpv,2001,12.25566,False
cpv,2002,12.45635,False
cpv,2003,12.49133,False
cpv,2004,12.58231,False
cpv,2005,13.39105,False
cpv,2006,13.09577,False
cpv,2007,13.39163,False
cpv,2008,13.78902,False
cpv,2009,14.20845,False
cpv,2010,14.5957,False
cpv,2011,14.69084,False
cpv,2012,14.90113,False
cpv,2013,15.16346,False
cpv,2014,15.0981,False
cpv,2015,15.03121,False
cpv,2016,14.7188,False
cpv,2017,14.80315,False
cpv,2018,14.45384,False
cpv,2019,14.56408,False
cpv,2020,13.68752,False
